a	det. 一
shop	n. 商店，车间，购物，营业\nv. 选购，浏览
shopkeeper	n. 店主
shoplifter	n. 商店货物扒手
shopping	n. 购物
shore	n. 岸，滨，陆地\nshear的过去式
short	n. 短路，要点\nv. 卖空，短路\nadj. 短的，矮的\nadv. 唐突地，突然地
short-weight	n. 短装，短重
shortage	n. 缺少，不足，不足乏额
shortcoming	n. 短处，缺点
shortcut	n. 捷径，近路
shorten	v. 缩短，弄短，变短
shorthand	n. 速记，速记法\nadj. 似速记的，速记法的
shortly	adv. 立刻，不久，简短地
shorts	n. 短裤
shortwave	n. 短波，短波辐射
shot	n. 射击，弹丸
shotgun	n. 猎枪，媒人\nadj. 被迫做的，猎枪的
should	v. 应该，会
shoulder	n. 肩膀，肩，肩部\nv. 担负，肩起
shout	n. 叫喊，呼喊\nv. 呼喊，叫嚷
shove	n. 推\nv. 推，推开，强使
shovel	n. 铲子，铲，铲状物\nv. 铲，用铲挖出
show	n. 演出，展览\nv. 显示，表明，陈列，给...看
showcase	n. 显示优点的东西
showdown	n. 摊牌
shower	n. 阵雨，淋浴，一大批\nv. 喷淋，洗淋浴
showroom	n. 展室，陈列室
showy	adj. 炫耀的
shrapnel	n. 零钱，榴霰弹，弹片
shred	n. 碎片，最少量\nv. 切掉，撕碎
shrewd	adj. 机敏的，精明的，机灵的，锐利的
shriek	n. 尖叫(声)，尖叫\nv. 尖叫
shrill	n. 尖声\nv. 刺耳的，尖叫，尖声说出\nadj. 尖声的，尖锐的\nadv. 尖声地
shrimp	n. 虾，矮子\nv. 捕虾
shrine	n. 神龛，圣地，圣陵
shrink	n. 缩水，退缩\nv. 收缩，畏缩，不愿
shrinkage	n. 减少，收缩
shrivel	v. 使枯萎，枯萎
shroud	n. 遮蔽物，裹尸布，遮蔽幕\nv. 覆盖，掩护
shrub	n. 灌木，果汁冰水
shrubbery	n. 灌木
shrug	n. 耸肩\nv. 耸，缩拢
shudder	n. 恐惧感，震动，发抖\nv. 突然震动，战栗
shuffle	n. 搅乱，曳行，洗牌\nv. 拖脚走，搞乱，跳
shun	v. 躲避，躲开，避开
shunt	n. 调轨，分流\nv. 摆脱，调轨
shut	v. 关闭，合拢，关上，合上
shutter	n. 百叶窗，快门
shuttle	n. 梭\nv. 穿梭，穿梭般来回移动
shy	n. 惊退，尝试\nv. 后退，惊退\nadj. 害羞的，腼腆的，迟疑的，怕陌生的
sick	v. 使厌恶\nadj. 有病的，厌恶的，病人的，恶心的
sicken	v. 枯萎，生病
sickle	n. 镰刀，镰形星群\nadj. 镰刀状的
sickly	adj. 有病的
sickness	n. 病，弊病，恶心
side	n. 边，面，侧面，一方，旁边\nv. 同意，赞助
sideboard	n. 餐具柜，侧板
sidecar	n. 边车
sidelight	n. 侧光，舷灯
sideline	n. 边线，旁线，副业
sideshow	n. 穿插表演，附带事件，杂耍
sidetrack	n. 侧线，离题\nv. 转变，转变话题
sidewalk	n. 人行道
sideways	adv. 侧面地，从一边，向一边
sidle	n. 侧身而行\nv. 侧身而行，横过山坡
siege	n. 包围，长期折磨\nv. 包围，围攻
sieve	n. 筛子
sift	v. 筛，细查，滤，详查
sigh	n. 叹息，叹气\nv. 悲叹，渴望
sight	n. 视力，情景，检查，看见，视觉\nv. 观测，看到
sightless	adj. 看不见的，盲的
sightseeing	n. 观光，游览
sign	n. 告示，迹象，符号，标志\nv. 签，写下
signal	n. 信号，标志，导因\nv. 做手势，是...的标志，发信号
signalize	v. 表明，使突出
signaller	n. 信号员，信号装置
signatory	n. 签署者\nadj. 签署的
signature	n. 签字，识别标志，署名
significance	n. 重要性，意义
significant	adj. 重要的，有意义的
signify	v. 表示，意味，吹牛
signpost	n. 路标，广告柱
silage	n. 青贮饲料
silence	n. 寂静，沉默，静默\nv. 使安静，压制
silencer	n. 枪消音器，消音器
silent	adj. 寂静的，沉默的，安静的，不作声的
silhouette	n. 轮廓\nv. 画黑色轮廓像
silicon	n. 硅
silk	n. 丝，绸，丝织品\nadj. 丝的
silken	adj. 丝制的
silkworm	n. 蚕
silky	adj. 丝绸般的，轻柔的，丝制的
sill	n. 基石，岩床
silly	n. 傻瓜\nadj. 糊涂的，愚蠢的，无聊的，晕眩的
silo	n. 竖井，筒仓
silver	n. 银，银餐具，钱\nv. 镀银于，变成银色
silvery	adj. 含银的，似银的，银色的，悦耳的
similar	adj. 类似的，相象的，相似的，相像的
similarity	n. 类似，相似，相似点，相似性
simmer	n. 激化，煨\nv. 煨，感到燥热
simple	adj. 简单的，朴素的，纯朴的
simpleton	n. 傻瓜
simplicity	n. 简单，简朴，单纯
simplify	v. 简单化，简化，变简单
simply	adv. 简单地，仅，仅仅
simulate	v. 假装，佯伪，模仿
simultaneous	adj. 同时(发生)的
simultaneously	adv. 同时地
sin	n. 罪，罪恶，过错\nv. 犯，犯过失
since	adv. 从那以后，之前\nconj. 既然，因为，自...以来\nprep. 自从，自...以来
sincere	adj. 真诚的，诚挚的，不搀假的，诚实的
sincerely	adv. 真诚地
sincerity	n. 真诚，诚挚，诚实，真心实意
sinew	n. 肌腱，力量\nv. 给...以力量，使牢固
sinful	adj. 有罪的，罪恶的，有过错的
sing	v. 唱，啼
singe	n. 轻微的烧焦\nv. 用微火燎去
singer	n. 歌手，鸣禽，诗人
single	n. 单曲唱片，一个\nv. 选出\nadj. 单个的，单身的，单程的，单人的
singlet	n. 单线，汗衫
singsong	n. 单调的节奏\nadj. 节奏单调的
singular	adj. 非凡的，单数的，独一的
sinister	adj. 不幸的，恶意的
sink	n. 水槽，落水洞，污水井\nv. 沉，下落，下沉
sinker	n. 雕刻者，凿井工
sinless	adj. 无罪的
sinuous	adj. 弯曲的
sip	n. 抿尝，小口喝\nv. 抿尝，小口地喝
siphon	n. 存水弯，虹吸管\nv. 抽取
sir	n. 先生，老兄，爵士
siren	n. 汽笛，报警器，塞壬\nadj. 女海妖的，诱人的
sister	n. 姊，妹，姐妹
sisterly	adj. 姐妹般的，姐妹的\nadv. 姐妹般地
sit	v. 坐，栖息，骑
site	n. 场所，场地，地方，地皮\nv. 给...择址，设置
sitting-room	n. 起居室
situate	v. 位于，坐落在
situated	adj. 位于...的
situation	n. 形势，局面，情况，位置
six	n. 第六，六\nnum. 六
sixteen	n. 第十六，十六\nnum. 十六
sixteenth	n. 第十六
sixth	n. 第六，六分之一\nnum. 第六，六分之一
sixtieth	n. 第六十
sixty	n. 第六十，六十\nnum. 六十
sizable	adj. 相当大的
size	n. 大小，规模，尺寸，尺码，大\nv. 相比，给...上涂料
sizzle	n. 兴奋，咝咝声\nv. 触犯，热极
skate	n. 冰鞋，溜冰\nv. 滑冰
skateboard	n. 滑板
skating	n. 滑冰，溜冰
skein	n. 一绞，一群\nv. 把...绕成绞
skeleton	n. 骨架，骨骼
skeptical	adj. 怀疑的
sketch	n. 素描，速写，草图，概述\n概述，草图，画草图
sketchy	adj. 不完全的，草图似的
skewer	n. 串肉扦，扦\nv. 刺穿，用扦串住
ski	n. 雪撬，滑橇，雪板\nv. 滑雪，在...上滑雪
skid	n. 打滑，垫木\nv. 打滑，疾行
skiing	n. 滑雪
skilful	adj. 有技术的
skill	n. 技能，技艺，技术，熟练性
skilled	adj. 有技能的
skillful	adj. 熟练的
skim	n. 掠过，撇\nv. 撇去，掠过，略谈，飞速掠过，浏览\nadj. 撇过的
skimp	v. 舍不得给，克俭\nadj. 不足的
skin	n. 皮，皮肤，外皮\nv. 剥皮，剥去...的皮，蜕皮
skinflint	n. 吝啬鬼
skinny	adj. 不足的，皮的，皮包骨的
skip	n. 蹦跳，跳进\nv. 跳过，遗漏，跳，跳越
skipper	n. 船长，队长\nv. 当...的船长，当...的队长
skirmish	n. 小冲突，争论\nv. 搜索
skirt	n. 裙子，挡板\nv. 绕开，位于边缘
skit	n. 讽刺话，若干，幽默短剧
skittish	adj. 易变的，易紧张的
skulk	n. 躲藏者\nv. 躲避责任，躲藏
skull	n. 颅骨，脑袋
skullcap	n. 头顶，无檐便帽
skunk	n. 卑鄙的人，臭鼬\nv. 不付...的帐，彻底击败
sky	n. 天，天空，苍天
skylark	n. 云雀\nv. 嬉闹
skylight	n. 天窗，天光
skyline	n. 地平线，架空索
skyrocket	v. 猛涨
skyscraper	n. 摩天大楼，摩天楼，三角天帆
slab	n. 厚板，厚板状物\nv. 使成原板，用板料铺\nadj. 半流体的
slack	n. 松弛，松闲\nv. 放松，减缓\nadj. 松驰的，不景气的，松的，松闲的
slacken	v. 放松，减缓
slake	v. 消解，熟化
slam	n. 猛关，满贯\nv. 砰地关上，使劲关，闯
slander	n. 诽谤，口头诽谤\nv. 诽谤，污蔑
slanderous	adj. 诽谤的
slang	n. 俚语，行话\nv. 欺骗，辱骂\nsling的过去式
slangy	adj. 俚语的
slant	n. 倾斜，斜线号\nv. 倾斜，斜穿
slap	n. 打击，掴\nv. 掌击，掴，涂抹\nadv. 恰好地，直接地
slapdash	adj. 轻率的\nadv. 猛然，轻率地
slash	n. 鞭打，砍，叉口\nv. 鞭打，砍
slate	n. 板岩，石板\nv. 提，预定
slattern	n. 荡妇\nv. 消耗掉
slaty	adj. 板岩的，石板色的
slaughter	n. 屠宰，屠杀，惨败\nv. 屠杀，屠宰
slave	n. 奴隶\nv. 做苦工，使从属，使做奴隶
slaver	n. 奉承，口水\nv. 奉承，淌口水
slavery	n. 奴隶制，奴役，奴隶身份
slavish	adj. 奴隶般的，奴隶的
slay	v. 屠杀，杀，消灭
sled	n. 雪橇，摘棉机\nv. 用雪橇运，乘雪橇
sledge	n. 重型运输雪橇\nv. 乘雪橇
sleek	v. 掩盖，滑动\nadj. 光滑的，油光的
sleep	n. 睡眠，昏睡\nv. 供...睡觉，睡
sleeper	n. 卧车，枕木
sleepless	adj. 不眠的，警觉的
sleepy	adj. 欲睡的，寂静的，想睡的
sleet	n. 雨加雪，冻雨，雨凇\nv. 下冻雨
sleeve	n. 袖子，套筒
sleigh	n. 轻便有座雪橇\nv. 驾轻便有座雪橇
slender	adj. 细长的，苗条的，细的
sleuth	n. 大猎犬，侦探\nv. 当侦探
slew	n. 转向，泥沼\nv. 使转向，转向\nslay的过去式
slice	n. 薄片，薄刀\nv. 切成薄片，切，切开
slick	n. 光滑水面，修光工具\nv. 打扮，使光滑\nadj. 精明的，圆滑的\nadv. 径直，平滑地
slide	n. 滑道，滑行\nv. 滑，溜，打滑，滑行
sliding	adj. 滑行的，可变的
slight	n. 冷落，轻视\nv. 忽视，看轻\nadj. 轻微的，纤瘦的，少量的，纤细的
slightly	adv. 轻微地，稍稍
slim	v. 减轻体重\nadj. 苗条的，机灵的，微薄的
slime	n. 黏泥\nv. 覆有黏液
slimy	adj. 污秽的，黏泥的
sling	n. 吊带，吊索\nv. 吊，抛
slink	n. 体弱的动物\nv. 不足月产下\nadj. 早产的
slip	n. 失脚，片\nv. 滑，滑行，溜走，滑落
slipknot	n. 活结
slipper	n. 便鞋，拖鞋，浅口便鞋
slippery	adj. 滑的，油滑的
slipshod	adj. 马虎的
slipway	n. 滑道，船台
slit	n. 狭口，裂缝，狭长的口子\nv. 割裂，切掉，切开
slither	v. 使滑下，滑下
slobber	n. 口水\nv. 淌出，淌口水
slogan	n. 标语，口号，战斗呐喊
slop	n. 泥浆，水坑\nv. 过分，溢出
slope	n. 坡，坡度，倾斜，斜面\nv. 倾斜，扛，走
sloppy	adj. 潮湿的，溅湿的
slops	n. 剩饭，残渣
slosh	n. 涉水而行\nv. 液体动荡
slot	n. 翼缝，足迹，空位\nv. 踢入门，跟踪，安置
sloth	n. 缓慢，懒散
slough	n. 泥坑，沼泽\nv. 逮捕，蜕
slow	v. 放慢，放慢速度\nadj. 慢的，迟钝的，耗时的\nadv. 慢慢地
slowcoach	n. 懒散的人，守旧的人
slowdown	n. 放慢，迟缓
slowly	adj. 慢慢地
sluggard	n. 懒怠的人\nadj. 懒怠的
sluggish	adj. 不好动的，慢慢的
sluice	n. 泄水管，蓄水，水闸\nv. 冲洗，淘洗
slum	n. 贫民窟，贫民\nv. 去贫民窟
slumber	n. 睡眠，微睡，静止状态\nv. 静止，麻痹
slump	n. 暴跌，不景气，倒下，跌落\nv. 倒下，弯垂
slur	n. 蹭污，污点\nv. 对...疏忽，被蹭污
slush	n. 烂泥\nv. 给...灌砂浆，溅泼
slut	n. 荡妇，女郎
sly	adj. 狡猾的，诡秘的
smack	n. 滋味，含意，少量\nv. 劈啪地响，掴，咂\nadv. 恰好
small	n. 狭窄部分，小件物品\nadj. 小的，不重要的，细小的
smart	n. 聪明，剧痛\nv. 引起...剧痛，感到剧痛\nadj. 聪明的，漂亮的\nadv. 聪明地，漂亮地
smarten	v. 使漂亮，打扮
smash	n. 猛击，钱\nv. 打破，粉碎，猛撞，打碎，压扁\nadj. 轰动一时的\nadv. 以哗啦一响
smattering	n. 略知，少数
smear	n. 涂片，污迹\nv. 诽谤，弄脏
smell	n. 气味，嗅觉\nv. 嗅,发出气味，感觉到，嗅
smile	n. 微笑，欢快\nv. 露出，惠及
smirch	n. 诽谤，污迹\nv. 弄脏，污蔑
smirk	n. 假笑，傻笑\nv. 假笑，傻笑
smite	v. 打出，打倒，深感不安
smith	n. 创造者，锻工，工匠
smithy	n. 铁匠，铁匠铺
smock	n. 罩衣\nv. 给...穿罩衣
smog	n. 烟雾，烟幕
smoke	n. 烟，抽烟\nv. 冒烟，抽烟，抽，熏制
smoker	n. 抽烟者，吸烟室，吸烟者
smokestack	n. 大烟囱
smoking	n. 抽烟
smoky	adj. 冒气的，冒烟的
smooth	v. 弄平，铺平\nadj. 平稳的，光滑的，光溜的，磨平的
smoothly	adv. 顺利地，安稳地
smother	n. 窒息状态\nv. 把...闷熄，阴燃
smudge	n. 污迹，熏烟火堆\nv. 弄脏，用烟熏
smug	adj. 整洁的，自命不凡的
smuggle	v. 走私，夹带，偷运
smuggler	n. 走私者
smuggling	n. 走私
smut	n. 煤灰，污垢\nv. 弄脏，被弄脏
snack	n. 快餐，小吃，一份，零食\nv. 吃快餐，尖刻地说
snag	n. 潜在的困难，抽丝\nv. 挂住，抓获
snail	n. 蜗牛，极慢的速度
snake	n. 蛇，奸险的人\nv. 拖曳，蛇行
snaky	adj. 多蛇的，蛇的
snap	n. 折断(声)，厉声，劈啪声\nv. 发吧嗒声，喀嚓折断\nadj. 迅速的，摁扣的
snappy	adj. 敏捷的
snapshot	n. 急射，快照
snare	n. 陷阱，罗网\nv. 捕捉，勉强取得
snarl	n. 狂吠，咆哮\nv. 狂吠，咆哮
snatch	n. 抢夺，攫取，夺，片断\nv. 夺，想要夺
sneak	n. 告密生\nv. 偷偷地逃走、做，偷窃，偷偷地做\nadj. 偷偷的，突然的
sneakers	n. 旅游鞋
sneer	n. 嘲笑，讥笑，嗤笑\nv. 发哧声，嗤笑
sneeze	n. 喷嚏，抓捕\nv. 打喷嚏，抓捕
sniff	n. 气息，吸气\nv. 嗅，闻，觉察出
snigger	n. 暗笑\nv. 窃笑
snip	n. 剪\nv. 剪，削减
snipe	n. 狙击，沙锥\nv. 狙击，打鹬
snippet	n. 小片
snob	n. 势利小人，势利的人，鞋匠
snobbery	n. 势利
snobbish	adj. 势利的
snooker	v. 欺骗，阻挠
snoop	n. 窥探行为，窥探者\nv. 窥探
snooper	n. 窥探者
snooze	n. 打盹\nv. 打盹消磨，打盹
snore	n. 打鼾，鼾声\nv. 打鼾，鼾睡度过
snorkel	n. 水下通气管\nv. 使用水下通气管潜航
snort	n. 喷鼻息，吸毒\nv. 喷出，吸
snout	n. 口鼻部，口吻状物
snow	n. 雪，下雪期\nv. 下雪，用雪困住
snowball	n. 雪球\nv. 向...扔雪球，扔雪球
snowbound	adj. 被雪困住的
snowdrift	n. 香雪球，雪堆
snowdrop	n. 宪兵，雪花莲
snowflake	n. 雪花，雪片莲
snowman	n. 雪人
snowshoe	n. 便衣警察，雪鞋\nv. 穿雪鞋行走
snowstorm	n. 暴风雪，雪暴，掼奶油
snowy	adj. 有雪的，下雪的，似雪的，雪的
snub	n. 冷落\nv. 冷落，严厉斥责\nadj. 制动用的
snuff	n. 生气，烛花，鼻烟\nv. 扼杀，嗅
snuffle	n. 鼻音，假惺惺\nv. 带鼻音说，嗅
snug	n. 温暖舒适的地方\nv. 使紧身，隐藏\nadj. 温暖舒适的
snuggle	n. 舒适的蜷伏\nv. 使偎依
so	adv. 这样，也一样，啊，同样\nconj. 为了，因此
so-called	adj. 所谓的
soak	n. 浸泡，湿透\nv. 浸，吸水，湿透，浸泡，渗透
soap	n. 肥皂，钱，皂\nv. 贿赂，缩小
soapy	adj. 肥皂的，含肥皂的
soar	v. 急速上升，暴涨，高飞，高耸
sob	n. 呜咽，啜泣，畜生\nv. 哭得使，呜咽
sober	v. 使冷静，醒酒\nadj. 清醒的，冷静的，适度的，未醉的
sobriety	n. 冷静，适度
soccer	n. 足球，英式足球
sociable	n. 社交聚会\nadj. 善交际的，社交的，好交际的
social	n. 社会保险，社交聚会\nadj. 社会的，社会性的
socialism	n. 社会主义
socialist	n. 社会党人\nadj. 社会主义者、的，社会党的
socialite	n. 社会活动积极分子
socialize	v. 参加社交
society	n. 社会，协会，社交界，阶层
sociologist	n. 社会学家
sociology	n. 社会学
sock	n. 短袜，套子\nv. 储，打
socket	n. 插座，窝\nv. 给...配插座
sod	n. 故乡，家伙\nv. 用草皮铺，诅咒\nseethe的过去式
soda	n. 苏打，碱，苏打水，钠
sodium	n. 钠
sofa	n. 沙发，软椅
soft	adj. 柔软的，温和的，轻的，柔滑的\nadv. 柔软地，嘘
softball	n. 垒球，垒球运动
soften	v. 使柔软，变软，使变暗，使软
softly	adv. 柔软地，温和地
softness	n. 柔软，温和
software	n. 软件
soggy	adj. 沉闷的，浸水的
soil	n. 土壤，国土，污秽，大地\nv. 腐蚀，弄脏
sojourn	n. 逗留\nv. 逗留
solace	n. 安慰，安慰物\nv. 安慰，减轻
solar	adj. 太阳的
solarium	n. 日光浴室，日晷
solder	n. 焊料，接合物\nv. 焊，联结
soldier	n. 士兵，兵，军事家
sole	n. 底部，鳎\nv. 给...装底\nadj. 唯一的，单独的，仅有的
solecism	n. 谬误，失礼
solely	adv. 唯一地，只
solemn	adj. 正式的，严肃的，隆重的
solemnity	n. 必要形式，庄严
solemnize	v. 隆重庆祝，使庄严
solicit	v. 请求，招揽
solicitor	n. 律师，请求者，推销员
solicitous	adj. 关心的，挂念的
solicitude	n. 关心
solid	n. 固体，固形物\nadj. 固体的，牢固的\nadv. 肯定，全部地
solidarity	n. 团结，团结工会，团结一致
solidify	v. 固化，结晶
solidity	n. 固态，固体
soliloquy	n. 独白，自言自语
solitary	n. 单独监禁，独居者\nadj. 独自的，孤独的，单独的，单个的
solitude	n. 寂寞，独居，单独，偏僻
solo	n. 独唱，独奏，独奏曲\nv. 单飞，独唱\nadv. 以独力
soloist	n. 独奏演员
solstice	n. 至，至点
soluble	adj. 可解答的，可溶的
solution	n. 解决，溶液，解
solve	v. 解答，溶解，解，解决
solvency	n. 偿付能力
solvent	n. 解决办法，溶剂\nadj. 有偿付能力的，有溶解力的
sombre	adj. 昏暗的，严峻的
some	pron. 很多，一些\nadj. 若干，某一
somebody	pron. 某人，重要人物
someday	adv. 来日
somehow	adv. 以某种方式，不知何故
someone	pron. 有人，某人
somersault	n. 筋斗\nv. 翻筋斗
something	pron. 某事，某物，某
sometime	adj. 不常有的，一度的\nadv. 日后，曾经
sometimes	adv. 有时，不时，以前
somewhat	adv. 稍微，有点
somewhere	pron. 某处\nadv. 某地，到某处
somnolent	adj. 促睡的，瞌睡的
son	n. 儿子，女婿
son-in-law	n. 女婿
sonar	n. 声纳
sonata	n. 器乐曲，奏鸣曲
song	n. 歌，歌词，鸟鸣，诗歌
sonic	adj. 声波的，声速的
sonnet	n. 十四行诗
sonorous	adj. 响亮的，作响的
sonyericsson	n. 索尼愛立信通訊手機公司
soon	adv. 不久，很快，早
soot	n. 油烟，煤烟，炭黑色\nv. 用煤烟污染
soothe	v. 安慰，使镇定，减轻
sop	n. 面包片，一摊\nv. 浸，吸干
sophism	n. 诡辩，谬论
sophist	n. 诡辩者，学者
sophisticated	adj. 复杂的，先进的
sophistication	n. 世故
sophistry	n. 诡辩，谬论
soporific	n. 催眠药\nadj. 催眠的
soprano	n. 女高音\nadj. 女高音的
sorcerer	n. 男巫
sorcery	n. 巫术，魅力
sordid	adj. 肮脏的，悲惨的
sore	n. 痛处\nadj. 疼痛的，恼火的，悲伤的，痛的
sorrow	n. 伤心，悲哀，忧患，悲伤，悔憾\nv. 哀痛，懊悔
sorrowful	adj. 悲哀的，忧愁的
sorry	adj. 难过的，遗憾的，内疚的
sort	n. 种类，性质\nv. 分类，拣，拣出，符合
sorter	n. 分类机，分类者
sortie	n. 出击，出击部队\nv. 出击
soul	n. 精神，灵魂\nv. 灵魂，心灵，人
sound	n. 声，声音，音\nv. 听起来，宣告，发音\nadj. 健康的，牢固的
soundtrack	n. 电影配乐，声迹
soup	n. 汤，马
sour	v. 变酸，发酵\nadj. 酸的，不高兴的，发酵的
source	n. 来源，出处，源泉，源
south	n. 南,南方，南，南部\nadj. 南方的，南部的，在南方的\nadv. 向南方
southeast	n. 东南(部)，东南\nadj. 在东南的\nadv. 向东南
southerly	adj. 南的
southern	adj. 南的，南方的，向南方的
southward	adj. 向南的\nadv. 向南
southwards	adv. 向南
southwest	n. 西南(部)，西南，西南部\nadj. 在西南的\nadv. 向西南
souvenir	n. 纪念品，记念品
sovereign	n. 君主，领袖，主权国家\nadj. 主权的，最高的
sovereignty	n. 主权
sow	n. 母猪，大母猪，懒猪\nv. 播种，散布，传播
soy	n. 酱油
soya	n. 大豆
spa	n. 矿泉，游览胜地
space	n. 空间，太空，空地，场地\nv. 分隔开，留间隔
spacecraft	n. 宇宙飞船，航天器
spaceship	n. 太空船，宇宙飞船
spaceshuttle	n. 航天飞机
spacious	adj. 广阔的，宽敞的，广大的，开阔的
spade	n. 铲子，铁锹，黑桃，铲\nv. 用铲挖掘，铲
spain	n. 西班牙
span	n. 跨度；指距\nv. 跨越
spangle	n. 软赘\nv. 闪烁发光
spanish	n. 西班牙人(的)
spank	n. 啪的一声，拍打\nv. 严厉斥责，掴
spanner	n. 扳紧器，横跨之物
spar	n. 翼梁，圆材\nv. 用栓闩紧，争论
spare	n. 备件，姘妇\nv. 腾出时间adj.备用的，节约，宽容\nadj. 备用的，剩下的
sparerib	n. 小排骨
spark	n. 火花，火星，闪光\nv. 点燃，激励
sparkle	n. 发泡，火花\nv. 发火花，闪耀，闪烁，焕发
sparrow	n. 麻雀，歌雀，麻省
sparse	adj. 很小的，稀薄的
spartan	adj. 简朴的，艰苦的
spasm	n. 痉挛，突发
spasmodic	adj. 间歇的，痉挛的
spate	n. 大量，大水
spatial	adj. 空间的
spatter	n. 飞溅声，溅\nv. 溅，溅污
speak	v. 说话，发言，讲，说
speaker	n. 说话者，发言人，代言人
speaking	n. 说话\nadj. 说话的
spear	n. 矛，枪\nv. 刺，用矛刺
spearhead	n. 矛头，先锋\nv. 当...的先锋
special	n. 特刊，专列\nadj. 特别的，专门的，特殊的，异常的
specialised|specialized	adj. 专业的，专门的
specialist	n. 专家，专科医生
speciality	n. 特点，特殊性
specialize|specialise	v. 专攻，专门研究，使专化，专门
specially	adv. 特地，专门地，尤其
specialty	n. 专业，专长，精制品，专门
specie	n. 硬币
species	n. 物种，种类，种
specific	n. 特效药，特性\nadj. 特殊的，明确的，特有的
specification	n. 规格，明细表
specify	v. 详细说明，指定，具体指定，明确地讲
specimen	n. 标本，样本
specious	adj. 虚伪的
speck	n. 斑点，烂斑\nv. 使产生斑点
speckle	n. 小斑点\nv. 使弄上斑点
specs	n. 说明书，眼镜
spectacle	n. 眼镜，场面，壮观，公开展示，景象
spectacular	adj. 壮观的
spectator	n. 观众，旁观者，观众之一\nadj. 适合体育观众的
spectral	adj. 错觉的，谱的
spectre	n. 鬼怪
spectrum	n. 光谱，频谱，谱
speculate	v. 推测，投机，怀疑
speculation	n. 推测，投机
speculator	n. 投机商
speech	n. 演说，语言能力，说话，说话方式
speechless	adj. 沉默的
speed	n. 速度，快，速率\nv. 飞驰，促进，快走
speedway	n. 高速车道，摩托车赛
speedy	adj. 快速的，快的，即时的
spell	n. 符咒，魔力\nv. 拼写，咒语，拼作，拼字
spellbound	adj. 入迷的
spelling	n. 拼音，拼写
spend	v. 花费，消耗，花，用
sperm	n. 精液，精子
spew	v. 呕出，喷出
sphere	n. 球体，范围，领域，球，星
spherical	adj. 球的，球形的
spheroid	n. 棒状，球体\nadj. 球状的
spice	n. 香料，调味品，趣味\nv. 加香料于
spicy	adj. 辛辣的
spider	n. 蜘蛛，星形轮
spike	n. 大钉，穗\nv. 摔球触地
spill	n. 溢出，裂片\nv. 溢出，流出，摔下
spin	n. 疾驰，旋转\nv. 自转，纺，吐
spinach	n. 菠菜，菠菜叶
spinal	n. 脊髓麻醉\nadj. 棘的，脊的
spindle	n. 纺锤体，绕线杆，纱锭\nv. 装锭子于，长得细长
spindly	adj. 细长的
spine	n. 骨气，脊柱
spineless	adj. 无脊柱的，懦弱的
spinning	n. 纺纱，旋转
spiral	n. 螺旋(的)，螺线，螺旋\nv. 螺旋形行进\nadj. 螺线的，螺旋的
spire	n. 螺旋，尖塔\nv. 给...装尖塔，发芽
spirit	n. 精神，心灵，酒精，灵魂\nv. 鼓励，偷偷地走
spiritless	adj. 无生命的
spiritual	n. 黑人的圣歌\nadj. 精神上的，心灵的，精神的
spirituous	adj. 含酒精的，蒸馏的
spit	n. 唾液，吐，岬\nv. 吐，倾吐，喷，捅
spite	n. 恶意，怨恨，不幸\nv. 恶意对待
spiteful	adj. 恶意的
spittle	n. 沫，唾沫
spittoon	n. 痰盂
splash	n. 溅，溅起的水\nv. 溅，泼，飞溅\nadv. 以扑通一声
splay	n. 八字面，张开\nv. 展开，倾斜\nadj. 倾斜的
spleen	n. 坏脾气，脾
splendid	adj. 辉煌的，灿烂的，有光彩的，壮丽的
splendour	n. 光辉，显赫
splice	n. 结婚，拼接\nv. 胶接，拼接
splint	n. 薄木条，夹板条\nv. 扶持
splinter	n. 裂片\nv. 使分裂，分裂
split	n. 分裂，裂口\nv. 劈，分割，分担，劈开
splutter	n. 劈啪声\nv. 喷溅，发劈啪声
spoil	n. 目的物，战利品\nv. 损坏，宠坏
spoilsport	n. 扫兴者
spoke	n. 辐条\nspeak的过去式
spokesman	n. 发言人
sponge	n. 海绵，纱布\nv. 采集海绵
sponger	n. 用海绵擦洗的人
spongy	adj. 多孔的，海绵的
sponsor	n. 发起人，主办者，保人，倡议者\nv. 倡议，发起
sponsorship	n. 发起，主办
spontaneous	adj. 自发的
spoof	n. 哄骗\nv. 哄骗，行骗
spook	n. 鬼，间谍\nv. 代写，吓唬
spool	n. 线轴状物，卷筒\nv. 绕，绕线
spoon	n. 汤匙，匙，傻瓜\nv. 使成匙形，用匙舀
spoonful	n. 一匙的量\nadj. 一匙的量
spoor	n. 足迹\nv. 跟踪追赶
sporadic	adj. 分散的，孤立的
sport	n. 玩笑，游戏，运动\nv. 运动，嬉戏，夸示，浪费
sportive	adj. 爱玩耍的，闹着玩的
sportsman	n. 运动员，愿意冒险的人
sportsmanship	n. 体育精神
spot	n. 点，斑，污点，场所，疤点，点子\nv. 使有污渍，玷污
spotless	adj. 没有污点的
spotlight	n. 聚光灯\nv. 聚光照明
spotter	n. 观察员
spouse	n. 配偶\nv. 和...结婚
spout	n. 喷口，水柱\nv. 把...当掉，喷出
sprain	n. 扭伤\nv. 扭
sprat	n. 年轻人，西鲱
sprawl	n. 蔓生，毅力\nv. 使蔓生，蔓生
spray	n. 水雾，浪花，喷雾\nv. 喷射，喷，向...扫射
spread	n. 翼展，展开\nv. 伸开，散布，传播，撒，涂
spree	n. 狂饮作乐，嬉戏
